Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A1 Sicherstellen der Integrität von Office-Produkten,Basis,Ja,"Es werden nur offizielle Office-Produkte installiert. Die Updates werden aus sicheren Quellen bezogen. Falls vorhanden, werden digitale Signaturen oder Prüfsummen zur Sicherstellung der Integrität genutzt.",,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A2 Einschränken von Aktiven Inhalten,Basis,Ja,Das automatische Ausführen von aktiven Inhalten ist standardmäßig deaktiviert. Die Mitarbeiter werden regelmäßig auf die Gefahr von aktiven Inhalten hingewiesen.,,Benutzer
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A3 öffnen von Dokumenten aus externen Quellen,Basis,Ja,"Dokumente, welche per Mail in das interne Netz gelangen werden vom Virenscanner auf Schadsoftware geprüft. Alte Dateiformate oder nicht mehr benötigte Dateiformate werden direkt abgefangen. Die Mitarbeiter werden auf die Gefahren aufmerksam gemacht.",,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A4 Absichern des laufenden Betriebs von Office-Produkten,Basis,Ja,Der IT-Betrieb und der ISB informieren sich regelmäßig über mögliche Schwachstellen. Updates werden durch die Updateverwaltung eingespielt. In der Security Policy werden die Vorgaben für die sichere Nutzung von Anwendungen definiert.,Security Policy,Informationssicherheitsbeauftragter
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A5 Auswahl geeigneter Office-Produkte,Standard,Ja,Die Office-Produkte wurden anhand eines Anforderungskatalogs beschafft.,,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A6 Testen neuer Versionen von Office-Produkten,Standard,Ja,"Neue Versionen werden zuerst nur für bestimmte Mitarbeiter installiert. Diese testen die Funktionalität im Hinblick auf die Dokumentenvorlagen, Formulare etc. ",,Benutzer
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A7 Installation und Konfiguration von Office-Produkten,Standard,Ja,Die Konfiguration der Office-Produkte sind im Systemmanagement dokumentiert. ,,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A8 Versionskontrolle von Office-Produkten,Standard,Ja,"Die Updateverwaltung führt regelmäßig einen Abgleich der aktuellen Version mit der installierten Version durch. Zusätzlich lässt sich im Systemmanagement nachvollziehen, auf welchem Client die Software installiert ist. Die Konfigurationen sind im Systemmanagement dokumentiert.",,IT-Betrieb
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A9 Beseitigung von Restinformationen vor Weitergabe von Dokumenten,Standard,Ja,"Die Dokumente der RECPLAST GmbH sind klassifiziert. Je nach Klassifizierung sind Tätigkeiten an Dokumenten durchzuführen, bevor diese weitergegeben werden. Dokumente sind immer in pdf-Dateiformat zu versenden.",Richtlinie zur Lenkung von Dokumenten und Aufzeichnungen,Benutzer
"A001 Textverarbeitung, Präsentation, Tabellenkalkulation",APP.1.1 Office-Produkte,APP.1.1.A10 Regelung der Software-Entwicklung durch Endbenutzer,Standard,Ja,Eigenentwicklungen durch die Mitarbeiter sind nicht erlaubt.,,Benutzer
