Zielobjekt,Gefährdung,Eintrittshäufigkeit ohne zusätzliche Maßnahmen,Auswirkung ohne zusätzliche Maßnahmen,Risiko ohne zusätzliche Maßnahmen,Risikobehandlungs-option,Erläuterung zur Risikobehandlung,Eintrittshäufigkeit mit zusätzlichen Maßnahmen,Auswirkung mit zusätzlichen Maßnahmen,Risiko mit zusätzlichen Maßnahmen
A002,G 0.11 Ausfall oder Störung von Dienstleistern,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.14 Ausspähen von Informationen (Spionage),selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.15 Abhören,selten,beträchtlich,mittel,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,"G 0.16 Diebstahl von Geräten, Datenträgern oder Dokumenten",selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.19 Offenlegung schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.20 Informationen oder Produkte aus unzuverlässiger Quelle,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.21 Manipulation von Hard- oder Software,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.22 Manipulation von Informationen,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.25 Ausfall von Geräten oder Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.26 Fehlfunktion von Geräten oder Systemen,selten,beträchtlich,mittel,Risikoreduktion,Es soll ein redundanter Mailserver angeschafft werden.,selten,beträchtlich,mittel
A002,G 0.27 Ressourcenmangel,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,mittel,beträchtlich,mittel,Risikoreduktion,Die Mitarbeiter sollen regelmäßiger für die Groupware-Systeme geschult werden.,selten,beträchtlich,mittel
A002,G 0.32 Missbrauch von Berechtigungen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.33 Personalausfall,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.36 Identitätsdiebstahl,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.37 Abstreiten von Handlungen,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.40 Verhinderung von Diensten (Denial of Service),selten,beträchtlich,mittel,Risikoreduktion,Es soll ein redundanter Server angeschafft werden.,selten,beträchtlich,mittel
A002,G 0.41 Sabotage,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.42 Social Engineering,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.45 Datenverlust,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A002,G 0.46 Integritätsverlust schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.19 Offenlegung schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.28 Software-Schwachstellen oder -Fehler,selten,vernachlässigbar,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.30 Unberechtigte Nutzung oder Administration von Geräten und Systemen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.31 Fehlerhafte Nutzung oder Administration von Geräten und Systemen,mittel,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.39 Schadprogramme,selten,existenzbedrohend,mittel,Risikotransfer,"Es soll eine Cyber-Versicherung abgeschlossen werden, um monetäre Schäden zu vermeiden bzw. zu verringern.",,,
A004,G 0.40 Verhinderung von Diensten (Denial of Service),selten,beträchtlich,mittel,Risikoreduktion,Es soll eine Redundanz geschaffen werden.,selten,beträchtlich,mittel
A004,G 0.45 Datenverlust,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A004,G 0.46 Integritätsverlust schützenswerter Informationen,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A005,G 0.15 Abhören,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A005,G 0.18 Fehlplanung oder fehlende Anpassung,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
A005,G 0.19 Offenlegung schützenswerter Informationen,mittel,beträchtlich,mittel,Risikoreduktion,"Es wird geregelt, dass die Daten nur über verschlüsselte Medien übertragen werden dürfen.",selten,beträchtlich,mittel
A005,G 0.28 Software-Schwachstellen oder -Fehler,selten,begrenzt,gering,Risikoakzeptanz,Aufgrund der bereits umgesetzten Maßnahmen wird das Risiko als vertretbar eingeschätzt.,,,
